# GeoNames RU extract; geoname_id\tname_ru\tlatitude\tlongitude\tbadges
524901	Москва	55.75222	37.61556	мегаполис,музеи,театры,стрит-арт,архитектура,гастрономия,ночная жизнь,большие арены,с детьми,ж/д узел,авиахаб
484516	Суздаль	56.41867	40.44858	юнеско,монастыри,старый город,архитектура,музеи,национальная кухня,на выходные,с детьми
498817	Санкт-Петербург	59.93863	30.31413	мегаполис,музеи,театры,архитектура,юнеско,старый город,большая река,гастрономия,ночная жизнь,ж/д узел,авиахаб,летом лучше
1496747	Новосибирск	55.02259	82.93175	мегаполис,театры,студенческий,промышленный,большая река,большие арены,ж/д узел,авиахаб
1486209	Екатеринбург	56.85733	60.61529	мегаполис,промышленный,стрит-арт,архитектура,гастрономия,ночная жизнь,большие арены,ж/д узел,авиахаб
520555	Нижний Новгород	56.32867	44.00205	кремль,архитектура,большая река,стрит-арт,старый город,фестивали,ж/д узел,на выходные,летом лучше
551487	Казань	55.78874	49.12214	кремль,юнеско,архитектура,национальная кухня,гастрономия,большая река,большие арены,с детьми,ж/д узел,авиахаб
1508291	Челябинск	55.1611	61.42877	промышленный,озёра,музеи,большие арены,походы
1496153	Омск	54.99244	73.36859	большая река,архитектура,музеи,промышленный,студенческий
499099	Самара	53.20767	50.13553	большая река,архитектура,крафт,промышленный,большие арены,ж/д узел,летом лучше
501175	Ростов-на-Дону	47.21997	39.70769	большая река,гастрономия,национальная кухня,архитектура,большие арены,степь,авиахаб
479561	Уфа	54.74306	55.96779	национальная кухня,лес,большая река,промышленный,большие арены,музеи
1502026	Красноярск	56.03742	92.93136	горы,походы,горные лыжи,большая река,музеи,промышленный,авиахаб
472045	Воронеж	51.66833	39.19204	студенческий,театры,архитектура,музеи,большие арены,летом лучше
472757	Волгоград	48.71378	44.4976	военная история,музеи,большая река,архитектура,степь,летом лучше
511196	Пермь	58.01046	56.25017	стрит-арт,театры,большая река,промышленный,фестивали,музеи
542420	Краснодар	45.04534	38.98178	гастрономия,вино,студенческий,большие арены,авиахаб,летом лучше
498677	Саратов	51.54048	45.9901	большая река,архитектура,музеи,студенческий,летом лучше
1488754	Тюмень	57.15222	65.52722	термальные источники,санатории,музеи,гастрономия,промышленный,с детьми
482283	Тольятти	53.5303	49.3461	промышленный,большая река,музеи,бюджетно
554840	Ижевск	56.85225	53.19862	промышленный,музеи,лес,озёра,бюджетно
1510853	Барнаул	53.36199	83.72786	горы,походы,большая река,музеи,летом лучше
479123	Ульяновск	54.32824	48.38657	музеи,большая река,архитектура,бюджетно
2023469	Иркутск	52.29566	104.29076	озёра,архитектура,музеи,походы,старый город,деревянное зодчество,зимой лучше
2022890	Хабаровск	48.46204	135.0971	большая река,архитектура,музеи,национальная кухня,авиахаб
